Adult Summary,Run Date: 01/09/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASELLE HATCHERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Range: 01/01/2007 - 01/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Brood,Adults In,Jacks In,Male Plant,Female Plant,Jack Plant,Adult Ship,Male Ship,Female Ship,Jack Ship,Male Morts,Female Morts,Jack Morts,Male Surplus,Female Surplus,Jack Surplus,Lethal Male Spawn,Lethal Female Spawn,Lethal Jack Spawn,Lethal NVF Spawn,Live Male Spawn,Live Female Spawn,Live Jack Spawn,Live NVF Spawn,Egg Count,Adults On Hand,Jacks On Hand,Mark Info,Other Mark,Checked for Wire,Wire Present,Wire Collected,CWT Detected Males,CWT Detected Females,CWT Detected Jacks,CWT Collected Males,CWT Collected Females,CWT Collected Jacks,Bag Number
10/04/2010,CK:FA:NASE:2010:H,0,0,,,,,,,,,,,,,,3,10,0,0,,,,,,469,7,UM,,Y,N,N,,,,,,,
10/04/2010,CK:FA:NASE:2010:M,0,0,,,,,,,,,,,,,,,,,,,,,,240000,469,7,,,N,N,N,,,,,,,
10/04/2010,CO:NA:NASE:2010:H,1424,104,,,,,,,,,,,,,,,,,,,,,,,1893,111,,,N,N,N,,,,,,,
10/04/2010,CO:NA:NASE:2010:H,0,0,,,,,,,,1,1,0,,,,,,,,,,,,,1891,111,AD,,Y,N,N,,,,,,,
10/05/2010,CO:NA:NASE:2010:H,20,0,,,,,,,,,,,,,,,,,,,,,,,1911,111,,,N,N,N,,,,,,,
10/06/2010,CO:NA:NASE:2010:H,1039,0,,,,,,,,,,,,,,,,,,,,,,,2950,111,,,N,N,N,,,,,,,
10/08/2010,CO:NA:NASE:2010:H,0,0,,,,20,0,0,0,,,,,,,,,,,,,,,,2930,111,,,N,N,N,,,,,,,
10/08/2010,CO:NA:NASE:2010:H,0,0,,,,,,,,,,,20,0,0,,,,,,,,,,2910,111,AD,,Y,N,N,,,,,,,
10/12/2010,CK:FA:NASE:2010:H,0,0,,,,,,,,2,0,0,,,,33,25,0,0,,,,,,2850,111,AD,,Y,N,N,,,,,,,
10/12/2010,CK:FA:NASE:2010:H,0,0,,,,,,,,,,,,,,2,10,0,0,,,,,,2838,111,UM,,Y,N,N,,,,,,,
10/12/2010,CK:FA:NASE:2010:M,0,0,,,,,,,,,,,,,,,,,,,,,,140000,2838,111,,,N,N,N,,,,,,,
10/18/2010,CK:FA:NASE:2010:H,0,0,,,,,,,,58,6,3,,,,73,56,0,0,,,,,,2645,108,AD,,Y,N,N,,,,,,,
10/18/2010,CK:FA:NASE:2010:H,0,0,,,,,,,,,,,,,,1,5,0,0,,,,,,2639,108,AD,,Y,Y,Y,1,5,0,1,5,0,46527
10/18/2010,CK:FA:NASE:2010:H,0,0,,,,,,,,,,,,,,8,21,0,0,,,,,,2610,108,UM,,Y,N,N,,,,,,,
10/18/2010,CK:FA:NASE:2010:M,0,0,,,,,,,,,,,,,,,,,,,,,,328000,2610,108,,,N,N,N,,,,,,,
10/18/2010,CO:NA:NASE:2010:H,0,0,,,,,,,,2,5,4,,,,,,,,,,,,,2603,104,AD,,Y,N,N,,,,,,,
10/21/2010,CK:FA:NASE:2010:H,0,0,,,,,,,,3,0,0,,,,42,36,0,0,,,,,,2522,104,AD,,Y,N,N,,,,,,,
10/21/2010,CK:FA:NASE:2010:H,0,0,,,,,,,,,,,,,,0,2,0,0,,,,,,2520,104,AD,,Y,Y,Y,0,2,0,0,2,0,46514
10/21/2010,CK:FA:NASE:2010:H,0,0,,,,,,,,,,,,,,3,6,0,0,,,,,,2511,104,UM,,Y,N,N,,,,,,,
10/21/2010,CK:FA:NASE:2010:H,0,0,,,,,,,,,,,,,,0,1,0,0,,,,,,2510,104,UM,,Y,Y,Y,0,1,0,0,1,0,46514
10/21/2010,CK:FA:NASE:2010:M,0,0,,,,,,,,,,,,,,,,,,,,,,180000,2510,104,,,N,N,N,,,,,,,
10/25/2010,CO:NA:NASE:2010:H,0,0,,,,,,,,15,10,2,19,0,8,55,60,2,0,,,,,,2351,92,AD,,Y,N,N,,,,,,,
10/25/2010,CO:NA:NASE:2010:H,0,0,,,,,,,,,,,,,,6,2,0,0,,,,,,2343,92,AD,,Y,Y,Y,6,2,0,6,2,0,46513
10/25/2010,CO:NA:NASE:2010:H,0,0,,,,,,,,,,,,,,1,0,0,0,,,,,,2342,92,UM,,Y,Y,Y,1,0,0,1,0,0,46513
10/25/2010,CO:NA:NASE:2010:M,0,0,,,,,,,,,,,,,,,,,,,,,,136400,2342,92,,,N,N,N,,,,,,,
11/01/2010,CO:NA:NASE:2010:H,0,0,,,,,,,,,,,8,0,6,96,98,5,0,,,,,,2140,81,AD,,Y,N,N,,,,,,,
11/01/2010,CO:NA:NASE:2010:H,0,0,,,,,,,,,,,,,,5,3,0,0,,,,,,2132,81,AD,,Y,Y,Y,5,3,0,5,3,0,46515
11/01/2010,CO:NA:NASE:2010:M,0,0,,,,,,,,,,,,,,,,,,,,,,222200,2132,81,,,N,N,N,,,,,,,
11/02/2010,CK:FA:NASE:2010:H,0,0,,,,,,,,17,8,0,,,,,,,,,,,,,2107,81,AD,,Y,N,N,,,,,,,
11/02/2010,CO:NA:NASE:2010:H,0,0,,,,,,,,12,7,2,21,0,3,114,114,3,0,,,,,,1839,73,AD,,Y,N,N,,,,,,,
11/02/2010,CO:NA:NASE:2010:M,0,0,,,,,,,,,,,,,,,,,,,,,,251000,1839,73,,,N,N,N,,,,,,,
11/04/2010,CK:FA:NASE:2010:H,0,0,,,,,,,,12,8,2,,,,,,,,,,,,,1819,71,AD,,Y,N,N,,,,,,,
11/04/2010,CO:NA:NASE:2010:H,0,0,,,,,,,,68,37,5,,,,,,,,,,,,,1714,66,AD,,Y,N,N,,,,,,,
11/08/2010,CO:NA:NASE:2010:H,0,0,,,,,,,,38,19,4,,,,113,117,6,0,,,,,,1427,56,AD,,Y,N,N,,,,,,,
11/08/2010,CO:NA:NASE:2010:H,0,0,,,,,,,,,,,,,,7,3,0,0,,,,,,1417,56,AD,,Y,Y,Y,7,3,0,7,3,0,46519
11/08/2010,CO:NA:NASE:2010:M,0,0,,,,,,,,,,,,,,,,,,,,,,264000,1417,56,,,N,N,N,,,,,,,
11/16/2010,CO:NA:NASE:2010:H,0,0,,,,,,,,15,4,0,31,0,5,131,131,5,0,,,,,,1105,46,AD,,Y,N,N,,,,,,,
11/16/2010,CO:NA:NASE:2010:M,0,0,,,,,,,,,,,,,,,,,,,,,,288000,1105,46,,,N,N,N,,,,,,,
11/18/2010,CK:FA:NASE:2010:H,0,0,,,,,,,,18,13,2,,,,,,,,,,,,,1074,44,AD,,Y,N,N,,,,,,,
11/18/2010,CO:NA:NASE:2010:H,0,0,,,,,,,,81,88,10,,,,,,,,,,,,,905,34,AD,,Y,N,N,,,,,,,
11/21/2010,CO:LA:NASE:2010:H,46,0,,,,,,,,,,,,,,,,,,,,,,,951,34,,,N,N,N,,,,,,,
11/30/2010,CO:NA:NASE:2010:H,0,0,,,,,,,,9,6,4,42,0,12,114,116,2,0,,,,,,664,16,AD,,Y,N,N,,,,,,,
11/30/2010,CO:NA:NASE:2010:H,0,0,,,,,,,,,,,,,,6,4,0,0,,,,,,654,16,AD,,Y,Y,Y,6,4,0,6,4,0,46516
11/30/2010,CO:NA:NASE:2010:M,0,0,,,,,,,,,,,,,,,,,,,,,,264000,654,16,,,N,N,N,,,,,,,
12/01/2010,CO:NA:NASE:2010:H,0,0,,,,,,,,14,10,2,368,196,14,,,,,,,,,,66,0,AD,,Y,N,N,,,,,,,
12/01/2010,SH:WI:NASE:2011:H,34,0,,,,,,,,,,,,,,,,,,,,,,,100,0,,,N,N,N,,,,,,,
12/15/2010,CO:NA:NASE:2010:H,0,0,,,,,,,,12,8,0,,,,,,,,,,,,,80,0,AD,,Y,N,N,,,,,,,
12/15/2010,SH:WI:NASE:2011:H,0,0,,,,,,,,,,,2,0,0,,,,,,,,,,78,0,AD,,Y,N,N,,,,,,,
01/18/2011,CO:LA:NASE:2010:H,0,0,,,,,,,,5,3,0,,,,,,,,,,,,,70,0,AD,,Y,N,N,,,,,,,
01/18/2011,SH:WI:NASE:2011:H,0,0,,,,,,,,,,,2,0,0,,,,,,,,,,68,0,AD,,Y,N,N,,,,,,,
